id,initial,match,type
5055,Samawah,Samawah,cityname
5056,Saratov,Saratov,cityname
5057,Tabriz            ,Tabriz            ,cityname
5058,Riyadh,Riyadh,cityname
5059,Kermanshah,Kermanshah,cityname
5061,Basrah,Basrah,cityname
5062,Astrakhan,Astrakhan,cityname
5063,Mina Al Ahmadi,MinaAlAhmadi,cityname
5063,Mina Al Ahmadi,MinaAl,cityname
5063,Mina Al Ahmadi,Mina Al Ahmadi,cityname
5064,Mina Abdulla,MinaAbdulla,cityname
5064,Mina Abdulla,Mina Abdulla,cityname
5065,Shuaiba,Shuaiba,cityname
5066,Abadan,Abadan,cityname
5067,Samara,Samara,cityname
5069,Arak              ,Arak              ,cityname
5070,"Madinat
  Al-Jubail Al- Sinaiyah ",Madinat Al Jubail Al Sinaiyah,cityname
5070,"Madinat
  Al-Jubail Al- Sinaiyah ","Madinat
  Al-Jubail Al- Sinaiyah ",cityname
5071,Samara,Samara,cityname
5072,Baku,Baku,cityname
5073,Baku,Baku,cityname
5074,Samara,Samara,cityname
5075,Ras Tanura,RasTanura,cityname
5075,Ras Tanura,Ras Tanura,cityname
5076,Sitra,Sitra,cityname
5077,Tehran            ,Tehran            ,cityname
5078,Isfahan,Isfahan,cityname
5079,Mesaieed,Mesaieed,cityname
5081,Ras Laffan,RasLaffan,cityname
5081,Ras Laffan,Ras Laffan,cityname
5082,Atyrau,Atyrau,cityname
5084,Shiraz            ,Shiraz            ,cityname
5085,Ruwais,Ruwais,cityname
5086,Turkmenbashi,Turkmenbashi,cityname
5087,"Lavan
  Island",LavanIsland,cityname
5087,"Lavan
  Island",Lavan,cityname
5087,"Lavan
  Island","Lavan
  Island",cityname
5088,Puerto Cabello,PuertoCabello,cityname
5088,Puerto Cabello,Puerto Cabello,cityname
5089,Ukhta,Ukhta,cityname
5090,"Abu
  Dhabi",AbuDhabi,cityname
5090,"Abu
  Dhabi",Abu,cityname
5090,"Abu
  Dhabi","Abu
  Dhabi",cityname
5092,Sharjah,Sharjah,cityname
5093,Salavat,Salavat,cityname
5094,Bandar Abbas,BandarAbbas,cityname
5094,Bandar Abbas,Bandar Abbas,cityname
5095,Ufa,Ufa,cityname
5096,Ufa,Ufa,cityname
5097,Ufa,Ufa,cityname
5098,Perm,Perm,cityname
5099,Fujairah,Fujairah,cityname
5100,Sohar,Sohar,cityname
5101,Mina Al Fahal,MinaAlFahal,cityname
5101,Mina Al Fahal,MinaAl,cityname
5101,Mina Al Fahal,Mina Al Fahal,cityname
5102,Orsk,Orsk,cityname
5103,Seydi,Seydi,cityname
5104,Mouza Kund,MouzaKund,cityname
5104,Mouza Kund,Mouza Kund,cityname
5105,Campana,Campana,cityname
5106,Tyumen,Tyumen,cityname
5107,Mouza Kund,MouzaKund,cityname
5107,Mouza Kund,Mouza Kund,cityname
5108,Karachi,Karachi,cityname
5109,Karachi,Karachi,cityname
5111,Shymkent,Shymkent,cityname
5112,Vadinar,Vadinar,cityname
5113,Jamnagar,Jamnagar,cityname
5114,Mahmoodkot,Mahmoodkot,cityname
5115,Mumbai,Mumbai,cityname
5116,Amuay-Punto Fijo,AmuayPuntoFijo,cityname
5116,Amuay-Punto Fijo,AmuayPunto,cityname
5116,Amuay-Punto Fijo,Amuay Punto Fijo,cityname
5116,Amuay-Punto Fijo,Amuay-PuntoFijo,cityname
5116,Amuay-Punto Fijo,Amuay-Punto Fijo,cityname
5117,Tyumen,Tyumen,cityname
5118,Morgah,Morgah,cityname
5119,Vadodara,Vadodara,cityname
5120,Omsk,Omsk,cityname
5121,Cienfuegos,Cienfuegos,cityname
5122,Mangalore,Mangalore,cityname
5123,Bathinda,Bathinda,cityname
5124,Nizhnevartovsk,Nizhnevartovsk,cityname
