id,initial,match,type
4905,Hassi Messaoud Refinery (RHM),hassi messaoud,refname
4905,Hassi Messaoud Refinery (RHM),hassimessaoud,refname
4906,Collombey Refinery,collombey,refname
4907,Skikda Refinery (RA1.K),skikda,refname
4908,Godorf - Rheinland Refinery,godorf - rheinland,refname
4908,Godorf - Rheinland Refinery,godorf-rheinland,refname
4908,Godorf - Rheinland Refinery,godorf-,refname
4909,Cressier Refinery,cressier,refname
4910,La Plata Refinery,la plata,refname
4910,La Plata Refinery,laplata,refname
4911,Raffinerie Gelsenkirchen,raffinerie gelsenkirchen,refname
4911,Raffinerie Gelsenkirchen,raffineriegelsenkirchen,refname
4912,Port Harcourt (Phrc) Refinery,port harcourt,refname
4912,Port Harcourt (Phrc) Refinery,portharcourt,refname
4913,Emsland Lingen Refinery,emsland lingen,refname
4913,Emsland Lingen Refinery,emslandlingen,refname
4914,Kaduna (KRPC) Refinery,kaduna,refname
4915,Miro Karlsruhe Refinery,miro karlsruhe,refname
4915,Miro Karlsruhe Refinery,mirokarlsruhe,refname
4916,Sogara Refinery,sogara,refname
4917,Soraz Refinery,soraz,refname
4918,Sarpom Trecate Novara Refinery,sarpom trecate novara,refname
4918,Sarpom Trecate Novara Refinery,sarpomtrecatenovara,refname
4918,Sarpom Trecate Novara Refinery,sarpomtrecate,refname
4919,Sannazzaro Refinery,sannazzaro,refname
4920,Iplom Busalla Refinery,iplom busalla,refname
4920,Iplom Busalla Refinery,iplombusalla,refname
4921,Sarroch Refinery,sarroch,refname
4922,Heide Refinery,heide,refname
4923,Sonara Limbe Refinery,sonara limbe,refname
4923,Sonara Limbe Refinery,sonaralimbe,refname
4924,Total - Brunsbuttel Oil Refinery,total - brunsbuttel oil,refname
4925,Fredericia Refinery,fredericia,refname
4926,Bizerte Refinery (Stir),bizerte,refname
4927,Hamburg Holburn Refinery,hamburg holburn,refname
4927,Hamburg Holburn Refinery,hamburgholburn,refname
4928,Hamburg Refinery,hamburg,refname
4929,Harburg Refinery,harburg,refname
4930,Eni Livorno Oil Refinery,eni livorno oil,refname
4930,Eni Livorno Oil Refinery,enilivornooil,refname
4930,Eni Livorno Oil Refinery,enilivorno,refname
4931,Slagen Refinery,slagen,refname
4932,Kalundborg Refinery,kalundborg,refname
4933,Preemraff Lysekil Refinery,preemraff lysekil,refname
4933,Preemraff Lysekil Refinery,preemrafflysekil,refname
4934,Centro De Refinacion De Paraguana (Cardon Refinery),centro de de paraguana,refname
4935,Gunvor Refinery Ingolstadt,gunvor ingolstadt,refname
4935,Gunvor Refinery Ingolstadt,gunvoringolstadt,refname
4937,Preemraff Goeteborg Refinery,preemraff goeteborg,refname
4937,Preemraff Goeteborg Refinery,preemraffgoeteborg,refname
4938,Pointe Noire Refinery,pointe noire,refname
4938,Pointe Noire Refinery,pointenoire,refname
4939,Nynas Gothenburg Refinery,nynas gothenburg,refname
4939,Nynas Gothenburg Refinery,nynasgothenburg,refname
4940,Gothenburg Refinery (St1 Energy),gothenburg,refname
4941,Leuna Refinery,leuna,refname
4942,Leuna (Mitteldeutschland Spergau) Refinery,leuna,refname
4943,Alma Petroli Ravenna Terminal,alma petroli ravenna terminal,refname
4944,Porto Marghera Venice Refinery,porto marghera venice,refname
4944,Porto Marghera Venice Refinery,portomargheravenice,refname
4944,Porto Marghera Venice Refinery,portomarghera,refname
4945,Rome Refinery,rome,refname
4946,Zawia Refinery,zawia,refname
4947,Burghausen Refinery,burghausen,refname
4948,Luanda Refinery,luanda,refname
4949,Falconara Marittima Ancona Refinery,falconara marittima ancona,refname
4949,Falconara Marittima Ancona Refinery,falconaramarittimaancona,refname
4949,Falconara Marittima Ancona Refinery,falconaramarittima,refname
4950,Lobito Refinery - Sonangol,lobito - sonangol,refname
4950,Lobito Refinery - Sonangol,lobito-sonangol,refname
4950,Lobito Refinery - Sonangol,lobito-,refname
4951,Litvinov Refinery,litvinov,refname
4952,Schwedt Refinery,schwedt,refname
4953,Gela Refinery,gela,refname
4954,Kralupy Refinery,kralupy,refname
4955,Rijeka Oil Refinery,rijeka oil,refname
4955,Rijeka Oil Refinery,rijekaoil,refname
4956,Esso Augusta Refinery,esso augusta,refname
4956,Esso Augusta Refinery,essoaugusta,refname
4957,Impianti Sud Oil Refinery,impianti sud oil,refname
4957,Impianti Sud Oil Refinery,impiantisudoil,refname
4957,Impianti Sud Oil Refinery,impiantisud,refname
4958,Impianti Nord Oil Refinery,impianti nord oil,refname
