GeoAssetID,GeoAssetName,Latitude,Longitude,CapacityMillionTonnesPerAnnum,CapacityKiloBarrelsPerDay,City,FromDate,ToDate
4756,Robinson Refinery,38.995414,-87.720094,10.70,212.00,Robinson,2014-01-01,2016-12-31
4756,Robinson Refinery,38.995414,-87.720094,11.50,215.00,Robinson,2017-01-01,2017-12-31
4756,Robinson Refinery,38.995414,-87.720094,12.00,220.00,Robinson,2018-01-01,2018-12-31
4756,Robinson Refinery,38.995414,-87.720094,13.50,253.00,Robinson,2019-01-01,
4757,Tuscaloosa Refinery,33.199676,-87.608906,3.50,68.00,Tuscaloosa,1946-01-01,
4758,Whiting Refinery,41.667096,-87.473865,20.50,405.00,Whiting,1890-01-01,2011-12-31
4758,Whiting Refinery,41.667096,-87.473865,21.50,337.00,Whiting,2012-01-01,2012-12-31
4758,Whiting Refinery,41.667096,-87.473865,20.50,399.00,Whiting,2013-01-01,2013-12-31
4758,Whiting Refinery,41.667096,-87.473865,20.50,413.50,Whiting,2014-01-01,2018-12-31
4758,Whiting Refinery,41.667096,-87.473865,20.50,435.00,Whiting,2019-01-01,
4759,Cuesta Del Plomo Managua Refinery,12.145933,-86.318525,1.00,20.00,Managua,1962-01-01,
4760,Somerset Oil Refinery,37.070639,-84.610794,0.35,5.50,Somerset,1932-01-01,2018-12-31
4761,Premcor Lima Refinery,40.717787,-84.125123,8.00,150.00,Lima,1886-01-01,2016-12-31
4761,Premcor Lima Refinery,40.717787,-84.125123,8.75,167.00,Lima,2017-01-01,2018-12-31
4761,Premcor Lima Refinery,40.717787,-84.125123,10.00,200.00,Lima,2019-01-01,
4762,Pbf Toledo Refinery,41.632725,-83.50214,8.40,170.00,Toledo,1894-01-01,
4763,Toledo Refinery,41.68,-83.454065,8.00,160.00,Toledo,1919-01-01,
4764,Detroit Refinery,42.283554,-83.157686,5.00,106.00,Detroit,1930-01-01,2011-12-31
4764,Detroit Refinery,42.283554,-83.157686,6.00,123.00,Detroit,2012-01-01,2014-12-31
4764,Detroit Refinery,42.283554,-83.157686,7.00,132.00,Detroit,2015-01-01,2016-12-31
4764,Detroit Refinery,42.283554,-83.157686,8.00,145.00,Detroit,2017-01-01,
4765,Catlettsburg Refinery,38.376359,-82.59645,10.50,212.00,Catlettsburg,1922-01-01,2011-12-31
4765,Catlettsburg Refinery,38.376359,-82.59645,11.50,233.00,Catlettsburg,2012-01-01,2012-12-31
4765,Catlettsburg Refinery,38.376359,-82.59645,12.00,240.00,Catlettsburg,2013-01-01,2017-12-31
4765,Catlettsburg Refinery,38.376359,-82.59645,14.00,260.00,Catlettsburg,2018-01-01,2018-12-31
4765,Catlettsburg Refinery,38.376359,-82.59645,15.50,277.00,Catlettsburg,2019-01-01,
4766,Sarnia (Shell) - Shell's Corunna Refinery,42.902477,-82.45052,3.70,75.00,St. Clair,1952-01-01,
4767,Sarnia (Suncor),42.929606,-82.440096,4.00,85.00,Sarnia,1953-01-01,
4768,Sarnia (Imperial Oil),42.943097,-82.414736,6.00,121.00,Sarnia,1897-01-01,
4769,Refineria Nico Lopez,23.13507,-82.31708,6.10,120.80,Havana,1900-01-01,2014-12-31
4769,Refineria Nico Lopez,23.13507,-82.31708,1.80,36.40,Havana,2015-01-01,
4770,Canton Refinery,40.774926,-81.413925,5.00,78.00,Canton,1931-01-01,2011-12-31
4770,Canton Refinery,40.774926,-81.413925,5.50,90.00,Canton,2012-01-01,2015-12-31
4770,Canton Refinery,40.774926,-81.413925,6.00,93.00,Canton,2016-01-01,2018-12-31
4770,Canton Refinery,40.774926,-81.413925,5.00,95.00,Canton,2019-01-01,
4771,La Refineria De Talara,-4.583268,-81.283359,3.20,65.00,Talara,1917-01-01,
4772,Savannah Citgo Asphalt Refinery,32.11701,-81.13536,,,,,
4773,Nustar Savannah Refinery,32.104737,-81.123528,1.50,28.00,Savannah,1930-01-01,2014-11-30
4774,Phillips 66 Savannah North Refinery,32.09509,-81.11077,,,,,
4775,Phillips 66 Savannah South Refinery,32.07616,-81.04848,,,,,
4776,Refineria La Libertad,-2.225793,-80.898752,2.30,44.00,Santa Elena,1990-01-01,
4777,Newell Refinery,40.610383,-80.629126,1.10,22.30,Newell,1972-01-01,
4778,Nanticoke Refinery,42.830491,-80.047723,5.50,115.00,Nanticoke,1978-01-01,
4779,Petroecuador - Esmeraldas,0.933581,-79.691616,5.54,110.00,Esmeraldas,1977-01-01,
4780,Clarkson Refinery,43.505096,-79.616609,0.80,15.60,Mississauga,1985-01-01,
4781,Warren Refinery,41.829246,-79.124153,6.50,65.00,Warren,1902-01-01,
4782,Refineria El Milagro (Petroperu),-5.673234,-78.636838,0.12,2.00,El Milagro,1996-01-01,
4783,Bradford Oil Refinery,41.979044,-78.623448,0.50,11.00,Bradford,1881-01-01,
4784,Refineria La Pampilla,-11.918157,-77.130503,5.00,102.00,Lima,1967-01-01,2016-03-31
4784,Refineria La Pampilla,-11.918157,-77.130503,5.90,117.00,Lima,2016-04-01,
4785,Refineria Conchan,-12.25288,-76.922771,0.78,15.50,Lima,1954-01-01,
